col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
1,5.0,5.0,2.0,4.5,1.5,1.5,1.0,5.0,0
2,10.0,5.0,5.0,9.0,4.0,4.0,3.0,8.0,0
3,11.0,11.0,4.0,9.0,6.0,6.0,3.0,11.0,0
4,11.25,10.0,5.0,9.5,7.0,5.0,3.0,9.0,1
5,11.0,7.0,4.0,10.0,7.0,6.0,5.0,9.5,1
6,11.0,13.0,3.0,7.0,10.0,5.0,3.5,10.0,1
7,9.0,10.5,2.5,7.5,7.0,5.0,3.0,12.0,1
8,9.0,10.0,2.0,7.0,7.0,6.0,4.5,10.0,1
9,9.0,13.0,2.0,8.0,10.0,8.0,5.0,11.5,1
10,9.0,12.0,2.0,7.0,7.0,5.0,5.0,10.0,1
11,6.0,10.0,3.0,7.0,6.0,8.0,6.0,11.0,1
12,7.0,9.0,2.5,5.0,7.0,7.0,5.0,10.0,1
13,5.0,11.0,2.0,5.0,9.0,10.0,4.0,10.5,1
14,7.0,7.0,3.0,4.0,9.0,9.0,6.0,10.0,1
15,10.0,8.0,3.0,3.0,8.0,9.0,5.0,11.0,1
16,13.0,10.5,3.0,4.0,12.0,9.0,6.5,11.0,1
17,5.5,10.0,4.0,4.0,13.0,7.0,4.0,11.5,1
18,10.5,11.5,5.0,4.0,15.0,7.0,6.0,12.0,1
19,9.0,9.0,6.0,4.5,17.0,7.0,3.0,12.5,1
20,6.0,11.0,8.0,3.5,20.0,7.0,6.0,13.0,1
21,8.0,13.0,7.0,6.0,16.0,8.0,5.0,11.0,1
22,15.0,15.0,11.0,5.0,17.0,9.0,8.0,11.0,1
23,13.0,14.0,9.0,6.0,15.0,7.0,4.5,11.0,1
24,14.0,17.0,10.0,6.0,12.0,8.0,4.0,13.0,1
25,15.0,16.0,10.0,5.0,13.0,8.0,4.0,11.0,1
26,14.5,14.0,11.0,7.0,13.0,8.0,6.5,13.0,1
27,14.0,11.0,14.0,6.0,18.0,8.0,4.0,12.0,0
28,14.0,16.0,15.0,5.0,20.0,8.0,5.0,14.0,1
29,15.0,12.0,12.0,3.0,16.0,7.0,3.0,10.0,0
30,16.0,11.5,10.0,5.0,16.0,7.0,5.5,13.0,0
31,13.0,11.0,12.0,4.0,16.0,10.0,3.0,8.0,0
32,12.0,13.0,13.0,4.5,16.0,8.0,2.0,7.5,0
33,9.0,12.0,9.5,4.0,15.0,7.0,2.0,8.0,0
34,11.5,12.0,8.0,4.0,11.0,7.0,2.0,8.0,0
35,9.5,13.0,8.0,4.0,11.0,11.0,2.0,7.0,0
36,12.0,9.0,9.0,4.0,11.0,11.0,3.0,10.0,0
37,13.0,15.0,11.0,6.0,8.5,12.0,2.0,7.0,1
38,13.5,12.0,13.0,6.0,10.0,10.0,2.0,10.0,0
39,15.0,7.0,16.0,4.0,6.0,11.0,2.0,8.0,1
40,15.5,7.0,18.0,3.0,10.0,11.0,2.0,10.0,0
41,14.0,10.0,12.0,3.5,8.0,11.0,2.0,9.0,1
42,14.0,5.0,15.0,8.0,8.0,8.5,1.5,10.0,0
43,10.0,3.5,14.0,6.0,6.0,10.0,1.5,8.0,0
44,13.0,5.0,20.0,4.5,8.0,9.0,1.5,11.0,0
45,11.0,14.0,14.0,6.0,6.0,11.0,1.0,10.0,1
46,8.5,13.0,7.0,4.5,6.0,7.0,1.0,7.0,0
47,7.5,19.0,7.5,4.0,7.0,5.0,1.0,5.0,0
48,6.0,11.5,4.0,3.0,3.0,3.0,1.0,7.0,0
49,5.0,10.0,5.0,3.0,3.0,3.0,0.5,8.0,0
50,4.0,6.0,3.0,2.0,2.0,1.5,0.5,6.0,0
51,3.0,6.5,1.5,1.0,2.0,1.0,0.0,7.5,0
52,2.0,5.0,0.5,0.5,2.0,0.0,0.0,2.5,0
