col_2,col_3,col_4,col_5
0.60814,0.03509,0.16607,0
0.79369,0.47924,0.53356,1
-0.8263,-0.61951,-0.78635,0
-1.2531,-1.21675,-1.04076,0
0.17399,-0.18517,0.14229,0
0.20246,0.12764,0.27311,0
0.24184,-0.09022,0.04967,1
0.59421,0.2175,0.51876,1
-0.61561,-0.48971,-0.63219,0
0.99391,0.62227,0.93368,1
1.21721,1.00627,1.17381,1
0.41436,0.71103,0.58978,1
0.83782,0.74281,0.72154,0
-0.75512,-0.64411,-0.56986,0
-0.37407,-0.13787,-0.2177,1
1.40353,1.14085,1.37147,1
1.64194,1.29229,1.40269,1
-0.31304,-0.0798,-0.21455,1
1.28525,1.22441,1.20428,1
-1.51938,-1.27565,-1.36598,0
-0.38224,-0.05353,-0.3556,0
-0.19186,-0.42605,-0.53718,0
1.27649,0.81427,0.91967,0
0.5231,0.3072,0.47231,1
-1.5981,-1.01572,-1.48315,0
0.77914,0.87771,0.76496,1
-1.04745,-0.77536,-0.91397,0
-1.63217,-1.47709,-1.71347,0
0.44328,0.60956,0.32833,1
-0.24972,0.07876,-0.17216,0
-0.3348,-0.39314,-0.37198,0
-0.2068,-0.13936,0.05626,0
-1.99375,-1.69587,-1.87838,0
0.66475,0.7967,0.69865,1
-0.27977,0.10817,-0.2645,1
-0.4399,-0.66022,-0.58491,1
-0.05334,-0.02396,-0.16795,1
-2.06699,-1.31832,-1.72082,0
-1.0256,-1.15858,-1.1942,0
0.45847,0.21555,0.31347,0
0.93979,0.63454,0.69907,0
-0.93238,-0.95216,-1.02725,0
-0.35988,-0.30693,-0.46232,1
-0.00518,0.35985,0.02485,1
-0.18892,-0.07959,0.01704,0
0.87271,0.47644,0.57036,1
-2.06993,-1.82915,-2.16738,0
0.32143,-0.25961,0.21632,1
-1.42382,-0.7762,-1.07473,1
-0.07852,-0.21347,-0.1175,1
-0.14925,-0.03192,-0.36599,1
0.52666,0.79149,0.71368,1
-1.49102,-1.02073,-1.38103,1
-0.94757,-1.28991,-1.24799,0
0.2455,0.83793,0.59596,0
-0.4163,-0.60312,-0.34951,0
1.38143,1.54542,1.59429,1
1.03806,0.91637,0.97602,1
-0.88639,-0.47652,-0.77693,0
1.08655,0.657,0.89401,1
-1.95142,-1.94199,-1.89645,1
2.83384,2.47398,2.79222,0
1.86753,1.55229,1.80057,0
-1.11172,-0.69732,-0.80197,0
1.41958,1.11481,1.24558,1
0.5394,0.16182,0.33477,1
0.22491,0.748,0.66183,1
1.48244,1.47079,1.54283,0
2.05425,1.80369,1.90066,1
1.24058,0.64484,0.87372,0
