zip,fire,theft,age,income,race,vol,invol
26,6.2,29,60.4,11744,10.0,5.3,0
40,9.5,44,76.5,9323,22.2,3.1,0
13,10.5,36,73.5,9948,19.6,4.8,1
57,7.7,37,66.9,10656,17.3,5.7,0
14,8.6,53,81.4,9730,24.5,5.9,1
10,34.1,68,52.6,8231,54.0,4.0,0
11,11.0,75,42.6,21480,4.9,17.9,0
25,6.9,18,78.5,11104,7.1,6.9,0
18,7.3,31,90.1,10694,5.3,7.6,0
47,15.1,25,89.8,9631,21.5,3.1,1
22,29.1,34,82.7,7995,43.1,1.3,1
31,2.2,14,40.2,13722,1.1,14.3,0
46,5.7,11,27.9,16250,1.0,12.1,0
56,2.0,11,7.7,13686,1.7,10.9,0
30,2.5,22,63.8,12405,1.6,10.7,0
34,3.0,17,51.2,12198,1.5,13.8,0
41,5.4,27,85.1,11600,1.8,8.9,0
35,2.2,9,44.4,12765,1.0,11.5,0
39,7.2,29,84.2,11084,2.5,8.5,0
51,15.1,30,89.8,10510,13.4,5.2,1
44,16.5,40,72.7,9784,59.8,2.7,1
24,18.4,32,72.9,7342,94.4,1.2,1
12,36.2,41,63.1,6565,86.2,0.8,1
7,39.7,47,83.0,7459,50.2,5.2,1
23,18.5,22,78.3,8014,74.2,1.8,1
8,23.3,29,79.0,8177,55.5,2.1,1
16,12.2,46,48.0,8212,62.3,3.4,0
32,5.6,23,71.5,11230,4.4,8.0,0
9,21.8,4,73.1,8330,46.2,2.6,1
53,21.6,31,65.0,5583,99.7,0.5,1
15,9.0,39,75.4,8564,73.5,2.7,0
38,3.6,15,20.8,12102,10.7,9.1,0
29,5.0,32,61.8,11876,1.5,11.6,0
36,28.6,27,78.1,9742,48.8,4.0,1
21,17.4,32,68.6,7520,98.9,1.7,1
37,11.3,34,73.4,7388,90.6,1.9,1
52,3.4,17,2.0,13842,1.4,12.9,0
20,11.9,46,57.0,11040,71.2,4.8,1
19,10.5,42,55.9,10332,94.1,6.6,1
49,10.7,43,67.5,10908,66.1,3.1,0
17,10.8,34,58.0,11156,36.4,7.8,1
55,4.8,19,15.2,13323,1.0,13.0,0
43,10.4,25,40.8,12960,42.5,10.2,0
28,15.6,28,57.8,11260,35.1,7.5,1
27,7.0,3,11.4,10080,47.4,7.7,0
33,7.1,23,49.2,11428,34.0,11.6,0
45,4.9,27,46.6,13731,3.1,10.9,0
