NOx,C,E
3.741,12.0,0
2.295,12.0,0
1.498,12.0,1
2.881,12.0,1
0.76,12.0,1
3.12,9.0,1
0.638,9.0,1
1.17,9.0,1
2.358,12.0,1
0.606,12.0,1
3.669,12.0,1
1.0,12.0,1
0.981,15.0,1
1.192,18.0,0
0.926,7.5,0
1.59,12.0,0
1.806,12.0,1
1.962,15.0,1
4.028,15.0,1
3.148,9.0,0
1.836,9.0,1
2.845,7.5,1
1.013,7.5,1
0.414,18.0,1
0.812,18.0,1
0.374,15.0,0
3.623,15.0,1
1.869,7.5,0
2.836,7.5,1
3.567,9.0,0
0.866,15.0,1
1.369,15.0,0
0.542,15.0,1
2.739,15.0,1
1.2,15.0,1
1.719,9.0,1
3.423,9.0,0
1.634,7.5,0
1.021,7.5,1
2.157,7.5,1
3.361,18.0,0
1.39,18.0,1
1.947,18.0,1
0.962,18.0,1
0.571,9.0,0
2.219,9.0,0
1.419,9.0,0
3.519,9.0,0
1.732,7.5,0
3.206,7.5,0
2.471,7.5,0
1.777,15.0,0
2.571,18.0,1
3.952,18.0,1
3.931,15.0,0
1.587,15.0,0
1.397,7.5,0
3.536,7.5,0
2.202,7.5,0
0.756,7.5,1
1.62,7.5,0
3.656,7.5,0
2.964,7.5,1
3.76,18.0,0
0.672,18.0,1
3.677,18.0,0
3.517,12.0,0
3.29,12.0,1
1.139,9.0,0
0.727,9.0,1
2.581,9.0,1
0.923,15.0,0
1.527,15.0,0
3.388,15.0,0
2.085,15.0,1
0.966,15.0,1
3.488,7.5,0
0.754,7.5,1
0.797,9.0,1
2.064,7.5,0
3.732,18.0,1
0.586,18.0,1
0.561,7.5,0
0.563,9.0,0
0.678,12.0,0
0.37,15.0,0
0.53,18.0,0
1.9,18.0,0
