Train_km,Pct_Mark_I,Accidents,SPAD_preventable,Other_preventable,Non_preventable,Year_grouped,Accidents_grouped,SPAD_grouped,Other_grouped,Non_grouped,Train_km_grouped,Fatalities,SPAD_fatalities,Other_fatalities,Non_prev._fatalities
0.459,97.2,7,5,1,1,3.0,23.0,4.0,4.0,15.0,2.25,73,1,1,1
0.449,96.0,1,0,0,1,8.0,14.0,5.0,2.0,7.0,2.18,2,0,0,0
0.447,94.7,7,2,2,3,13.0,10.0,4.0,1.0,5.0,2.13,17,6,8,0
0.452,93.6,2,0,0,2,18.0,11.0,3.0,0.0,8.0,1.99,3,0,0,0
0.444,92.9,6,1,1,4,23.0,10.0,3.0,1.0,6.0,2.15,9,3,1,0
0.431,91.4,2,0,1,1,28.5,7.0,3.0,0.0,4.0,2.56,7,0,6,0
0.433,89.4,3,2,0,1,,,,,,,16,6,0,1
0.452,88.0,2,2,0,0,,,,,,,2,2,0,0
0.436,86.4,5,0,1,4,,,,,,,11,0,6,0
0.426,84.4,2,1,0,1,,,,,,,3,1,0,0
0.425,82.3,1,0,0,1,,,,,,,2,0,0,0
0.43,80.9,2,2,0,0,,,,,,,4,4,0,0
0.426,79.5,3,2,0,1,,,,,,,13,12,0,0
0.43,77.7,2,0,1,1,,,,,,,3,0,1,0
0.417,75.4,2,0,0,2,,,,,,,5,0,0,0
0.372,72.2,2,0,0,2,,,,,,,2,0,0,0
0.401,68.9,2,0,0,2,,,,,,,2,0,0,0
0.389,66.2,5,2,0,3,,,,,,,22,6,0,1
0.418,63.8,0,0,0,0,,,,,,,0,0,0,0
0.414,60.3,2,1,0,1,,,,,,,2,1,0,0
0.397,56.7,1,0,0,1,,,,,,,4,0,0,0
0.443,52.8,2,0,0,2,,,,,,,36,0,0,1
0.436,48.0,4,2,0,2,,,,,,,10,7,0,0
0.431,43.9,1,0,0,1,,,,,,,1,0,0,0
0.439,41.0,2,1,1,0,,,,,,,6,4,2,0
0.43,38.1,1,0,0,1,,,,,,,1,0,0,0
0.425,34.6,0,0,0,0,,,,,,,0,0,0,0
0.419,28.8,2,1,0,1,,,,,,,7,5,0,0
0.426,25.5,1,0,0,1,,,,,,,1,0,0,0
0.424,23.4,2,1,0,1,,,,,,,2,1,0,0
0.436,20.0,1,1,0,0,,,,,,,7,7,0,0
