SPEED1,TOTAL,SPEED2,NUMBER2,SENS,TIME,T20BOLT
2,10,1,0,6,5.7,0
2,10,1,0,10,17.56,1
2,10,1,2,6,11.28,0
2,10,1,2,10,8.39,0
2,10,2,0,6,16.67,0
2,10,2,0,10,12.04,0
2,10,2,2,6,9.22,0
2,10,2,2,10,3.94,0
2,30,1,0,6,27.02,0
2,30,1,0,10,19.46,0
2,30,1,2,6,18.54,0
2,30,1,2,10,25.7,0
2,30,2,0,6,19.02,0
2,30,2,0,10,22.39,0
2,30,2,2,6,23.85,0
2,30,2,2,10,30.12,0
6,10,1,0,6,13.42,0
6,10,1,0,10,34.26,1
6,10,1,2,6,39.74,1
6,10,1,2,10,10.6,0
6,10,2,0,6,28.89,1
6,10,2,0,10,35.61,1
6,10,2,2,6,17.2,1
6,10,2,2,10,6.0,0
6,30,1,0,6,129.45,1
6,30,1,0,0,107.38,1
6,30,1,2,6,111.66,1
6,30,1,2,0,109.1,1
6,30,2,0,6,100.43,1
6,30,2,0,0,109.28,1
6,30,2,2,6,106.46,1
6,30,2,2,0,134.01,1
4,20,2,1,8,10.78,0
4,20,2,1,8,9.39,0
4,20,2,1,8,9.84,0
4,20,2,1,8,13.94,0
4,20,2,1,8,12.33,0
4,20,2,1,8,7.32,0
4,20,2,1,8,7.91,0
4,20,2,1,8,15.58,0
